,Username,Title,Country,Last_Online,Joined,lastrapid,lastblitz,lastdaily,lastbullet,recordrapid,recordblitz,recordbullet,recorddaily
5999,shtembuliak,GM,US,1587698005,1467567406,"{'rating': 1972, 'date': 1584472702, 'rd': 269}","{'rating': 2813, 'date': 1587509712, 'rd': 22}","{'rating': 2079, 'date': 1516012699, 'rd': 231}","{'rating': 2594, 'date': 1587676417, 'rd': 27}","{'win': 1, 'loss': 0, 'draw': 1}","{'win': 3172, 'loss': 2612, 'draw': 792}","{'win': 652, 'loss': 508, 'draw': 91}","{'win': 6, 'loss': 0, 'draw': 1, 'time_per_move': 23948, 'timeout_percent': 0}"
6000,shyam,GM,IN,1587655825,1185801156,N/A,"{'rating': 2704, 'date': 1587656109, 'rd': 30}","{'rating': 800, 'date': 1545813607, 'rd': 350}","{'rating': 2642, 'date': 1587097985, 'rd': 68}",N/A,"{'win': 555, 'loss': 408, 'draw': 79}","{'win': 98, 'loss': 54, 'draw': 6}","{'win': 0, 'loss': 3, 'draw': 0, 'time_per_move': 65, 'timeout_percent': 0}"
6001,sibelephant,GM,RU,1587681075,1489321339,N/A,"{'rating': 3199, 'date': 1587596340, 'rd': 33}",N/A,"{'rating': 3057, 'date': 1585950356, 'rd': 61}",N/A,"{'win': 391, 'loss': 126, 'draw': 95}","{'win': 41, 'loss': 20, 'draw': 14}",N/A
6002,sigurvegari,GM,IS,1520450071,1520271284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6003,sipkeernst,GM,NL,1587679404,1242400271,"{'rating': 1972, 'date': 1586637931, 'rd': 130}","{'rating': 2592, 'date': 1548022710, 'rd': 63}","{'rating': 1506, 'date': 1587233302, 'rd': 204}","{'rating': 2546, 'date': 1577136754, 'rd': 151}","{'win': 13, 'loss': 5, 'draw': 2}","{'win': 127, 'loss': 71, 'draw': 28}","{'win': 15, 'loss': 3, 'draw': 0}","{'win': 40, 'loss': 21, 'draw': 17, 'time_per_move': 34901, 'timeout_percent': 0}"
6004,skzt,GM,UA,1587644472,1478613097,N/A,"{'rating': 2460, 'date': 1566809653, 'rd': 67}",N/A,N/A,N/A,"{'win': 185, 'loss': 78, 'draw': 11}",N/A,N/A
6005,slackadaisacal,GM,AU,1587276148,1546501408,N/A,"{'rating': 2504, 'date': 1585131421, 'rd': 90}",N/A,"{'rating': 2623, 'date': 1554409493, 'rd': 70}",N/A,"{'win': 32, 'loss': 5, 'draw': 0}","{'win': 21, 'loss': 8, 'draw': 2}",N/A
6006,smirnov_pavel,GM,RU,1587317244,1436222705,"{'rating': 2118, 'date': 1587317739, 'rd': 261}","{'rating': 2630, 'date': 1585526252, 'rd': 36}",N/A,N/A,"{'win': 7, 'loss': 0, 'draw': 0}","{'win': 714, 'loss': 459, 'draw': 170}",N/A,N/A
6007,smtheweirdone,GM,US,1587627541,1328400948,N/A,"{'rating': 2412, 'date': 1555654920, 'rd': 77}",N/A,"{'rating': 2392, 'date': 1339970026, 'rd': 40}",N/A,"{'win': 192, 'loss': 71, 'draw': 18}","{'win': 161, 'loss': 59, 'draw': 10}",N/A
6008,smurfo,GM,AU,1587641289,1373810956,"{'rating': 2534, 'date': 1547373804, 'rd': 348}","{'rating': 2528, 'date': 1574593665, 'rd': 97}","{'rating': 2026, 'date': 1570156980, 'rd': 284}","{'rating': 2513, 'date': 1511408009, 'rd': 126}","{'win': 1, 'loss': 0, 'draw': 0}","{'win': 4157, 'loss': 1626, 'draw': 641}","{'win': 89, 'loss': 37, 'draw': 10}","{'win': 3, 'loss': 0, 'draw': 3, 'time_per_move': 16833, 'timeout_percent': 0}"
